Species3,Total.individuals,Female,Male,Unknown,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass,Inference,Traits.inferred,Reference.species
Hemitriccus griseipectus,11,3,5,3,12.7,7.7,4.2,3.3,14.8,47.5,42.7,41.6,8.9,NO,NA,NA
Hemitriccus inornatus,4,2,2,0,12.1,7.5,4.3,2.9,15.0,47.0,40.9,37.8,8.3,NO,NA,NA
Hemitriccus iohannis,4,0,1,3,13.6,8.1,4.5,3.5,17.8,51.0,45.3,39.8,10.0,NO,NA,NA
Hemitriccus josephinae,2,1,0,1,13.2,8.7,5.6,3.5,18.2,48.7,44.1,43.0,10.8,NO,NA,NA
Hemitriccus kaempferi,2,1,1,0,12.2,7.5,4.0,3.3,17.8,47.1,42.4,40.5,8.6,NO,NA,NA
Hemitriccus margaritaceiventer,15,3,8,4,14.1,8.7,3.7,3.6,17.9,55.6,45.3,45.3,8.4,NO,NA,NA
Hemitriccus minimus,4,2,2,0,13.2,7.4,3.7,3.0,15.2,46.8,42.3,37.2,7.0,NO,NA,NA
Hemitriccus minor,7,1,6,0,12.0,7.3,4.4,3.1,14.8,46.4,40.1,35.8,7.4,NO,NA,NA
Hemitriccus mirandae,9,4,4,1,13.1,7.9,3.8,3.4,17.3,50.3,43.7,45.8,8.6,NO,NA,NA
Hemitriccus nidipendulus,4,0,0,4,13.1,7.8,3.5,2.9,17.5,43.8,40.1,29.8,7.5,NO,NA,NA
Hemitriccus obsoletus,4,1,1,2,13.6,7.1,4.1,3.1,19.7,54.8,47.7,49.2,11.6,NO,NA,NA
Hemitriccus orbitatus,4,1,3,0,13.8,8.1,4.1,3.1,17.9,53.2,46.0,49.8,9.7,NO,NA,NA
Hemitriccus rufigularis,4,2,2,0,14.9,8.7,4.2,3.1,17.4,53.0,46.0,45.8,9.4,NO,NA,NA
Hemitriccus spodiops,3,0,3,0,12.5,6.8,3.8,3.0,15.4,48.2,42.8,42.3,7.2,NO,NA,NA
Hemitriccus striaticollis,4,1,3,0,13.7,8.3,4.1,3.2,17.8,48.2,43.3,40.0,8.6,NO,NA,NA
Hemitriccus zosterops,5,0,4,1,12.9,7.2,4.1,2.8,15.6,49.9,45.1,46.1,8.7,NO,NA,NA
Hemixos castanonotus,4,2,2,0,19.8,11.4,4.6,5.0,17.4,97.4,78.2,89.9,38.0,NO,NA,NA
Hemixos flavala,8,4,4,0,19.5,11.4,4.1,5.2,17.7,95.6,78.5,88.8,32.5,NO,NA,NA
Henicopernis infuscatus,1,1,0,0,30.8,20.5,10.1,15.3,41.4,337.0,210.0,253.0,730.0,NO,NA,NA
Henicopernis longicauda,4,4,0,0,31.7,21.6,11.3,14.2,50.1,398.8,241.5,296.2,571.2,NO,NA,NA
Henicophaps albifrons,4,2,2,0,34.7,22.4,7.0,8.4,32.2,191.8,139.0,130.8,247.0,NO,NA,NA
Henicophaps foersteri,1,1,0,0,34.3,20.7,6.4,8.6,34.5,203.0,150.7,135.0,247.0,NO,NA,NA
Henicorhina leucophrys,37,2,13,22,16.0,9.9,3.1,3.2,25.7,53.1,48.1,30.2,16.2,NO,NA,NA
Henicorhina leucoptera,4,3,1,0,17.9,10.6,2.9,3.5,24.4,54.0,47.9,33.9,13.6,NO,NA,NA
Henicorhina leucosticta,75,35,38,2,16.7,11.0,3.5,3.7,22.1,53.6,48.0,32.1,14.2,NO,NA,NA
Henicorhina negreti,5,2,3,0,17.5,10.3,2.3,3.0,18.1,53.9,48.4,25.9,15.9,NO,NA,NA
Herpetotheres cachinnans,8,3,5,0,32.7,18.3,12.4,20.4,58.5,268.8,217.8,216.4,623.6,NO,NA,NA
Herpsilochmus atricapillus,7,3,4,0,15.4,8.9,4.0,4.0,17.9,51.9,46.7,55.5,9.8,NO,NA,NA
Herpsilochmus axillaris,4,1,3,0,15.9,8.9,3.7,4.0,17.4,51.8,45.1,46.4,11.4,NO,NA,NA
Herpsilochmus dorsimaculatus,4,2,2,0,15.9,10.4,4.4,4.1,17.4,49.8,43.4,43.8,9.9,NO,NA,NA
Herpsilochmus dugandi,3,1,2,0,15.9,9.0,4.1,3.8,16.2,46.7,41.0,36.7,10.3,NO,NA,NA
Herpsilochmus gentryi,4,2,2,0,16.1,9.4,3.8,3.8,18.2,48.0,43.1,37.0,10.6,NO,NA,NA
Herpsilochmus longirostris,4,2,2,0,18.4,10.5,4.4,4.4,19.7,62.5,55.8,55.0,12.8,NO,NA,NA
Herpsilochmus motacilloides,4,2,2,0,15.1,9.1,4.2,3.8,17.8,53.9,49.2,59.2,12.5,NO,NA,NA
Herpsilochmus parkeri,4,2,2,0,17.0,9.7,3.9,3.9,18.6,53.8,49.1,58.2,11.5,NO,NA,NA
Herpsilochmus pectoralis,4,0,0,4,16.9,9.1,4.2,4.7,19.2,54.6,51.8,48.8,10.9,NO,NA,NA
Herpsilochmus pileatus,5,2,2,1,14.6,9.4,3.8,3.9,16.6,49.5,44.4,43.7,8.9,NO,NA,NA
Herpsilochmus roraimae,4,2,2,0,16.5,9.4,3.8,4.2,18.6,51.8,46.2,50.8,10.9,NO,NA,NA
Herpsilochmus rufimarginatus,5,2,3,0,15.3,9.0,3.8,4.1,18.4,50.3,46.6,44.7,10.6,NO,NA,NA
Herpsilochmus sellowi,14,6,6,2,13.3,8.4,3.0,3.4,17.5,48.9,40.2,47.0,7.5,NO,NA,NA
Herpsilochmus stictocephalus,4,1,3,0,16.8,10.4,4.1,3.8,16.5,48.2,42.2,34.8,8.8,NO,NA,NA
Herpsilochmus sticturus,4,1,2,1,15.7,9.5,4.2,4.0,17.1,48.2,40.9,36.4,9.5,NO,NA,NA
Heterocercus aurantiivertex,5,2,2,1,14.1,8.4,4.9,4.5,15.6,81.0,61.8,51.0,21.5,NO,NA,NA
Heterocercus flavivertex,4,2,2,0,14.9,9.4,4.4,4.3,13.1,81.5,66.1,49.2,21.3,NO,NA,NA
Heterocercus linteatus,4,1,2,1,14.6,8.8,4.7,4.4,15.5,85.5,67.6,51.2,21.2,NO,NA,NA
Heteroglaux blewitti,3,1,2,0,20.7,13.0,9.8,14.2,24.1,145.7,111.8,68.3,241.0,NO,NA,NA
Heteromirafra archeri,4,2,2,0,14.8,9.2,4.6,4.8,27.2,77.8,66.3,52.2,25.0,NO,NA,NA
Heteromirafra ruddi,2,1,1,0,14.5,9.5,5.4,5.8,24.9,73.0,61.3,47.0,26.6,NO,NA,NA
Heteromirafra sidamoensis,1,0,1,0,15.7,9.2,4.3,5.2,28.9,87.5,76.5,60.0,30.2,NO,NA,NA
Heteromunia pectoralis,4,2,2,0,13.3,9.5,6.5,6.9,14.5,59.4,46.6,42.0,15.2,NO,NA,NA
Heteromyias albispecularis,16,6,7,3,19.2,11.0,4.8,6.0,31.4,96.6,75.2,64.5,36.3,NO,NA,NA
Heteronetta atricapilla,4,2,2,0,52.8,36.1,15.9,13.1,32.4,172.5,98.6,50.0,538.4,NO,NA,NA
Heterophasia annectens,4,2,2,0,16.8,8.8,3.6,4.0,23.1,76.0,66.7,83.8,24.5,NO,NA,NA
Heterophasia auricularis,4,2,2,0,20.6,11.9,5.0,5.5,30.5,101.1,83.7,106.8,41.8,NO,NA,NA
Heterophasia capistrata,4,2,2,0,20.5,11.9,4.4,4.8,29.6,100.5,83.5,110.4,39.4,NO,NA,NA
Heterophasia desgodinsi,4,2,2,0,21.3,11.1,4.2,4.5,29.2,97.8,82.2,108.2,31.0,NO,NA,NA
Heterophasia gracilis,4,2,2,0,22.4,12.2,4.1,4.4,28.3,88.8,74.2,104.9,37.8,NO,NA,NA
Heterophasia melanoleuca,4,2,2,0,20.4,10.6,4.1,4.7,26.8,84.2,71.8,106.8,32.6,NO,NA,NA
Heterophasia picaoides,4,2,2,0,24.8,13.7,4.5,5.3,28.2,118.5,94.0,206.0,42.4,NO,NA,NA
Heterophasia pulchella,4,2,2,0,25.1,14.4,4.8,5.2,30.7,96.9,79.8,107.8,40.5,NO,NA,NA
Heteroscelus brevipes,4,2,2,0,42.2,29.8,3.5,5.1,32.8,156.0,70.5,67.0,127.0,NO,NA,NA
Heteroscelus incanus,4,2,2,0,44.5,29.1,3.5,5.0,33.2,163.8,73.3,72.2,108.2,NO,NA,NA
Heterospingus rubrifrons,4,1,0,3,21.2,13.7,5.9,6.7,20.2,80.0,59.8,57.1,38.0,NO,NA,NA
Heterospingus xanthopygius,4,2,2,0,20.6,13.4,6.3,7.7,20.0,84.8,68.1,61.5,38.8,NO,NA,NA
Hieraaetus ayresii,5,2,2,1,33.1,20.5,11.8,17.4,67.6,381.8,251.8,210.0,806.1,NO,NA,NA
Hieraaetus morphnoides,4,2,2,0,33.9,20.6,10.6,17.8,54.5,359.2,198.0,196.8,775.0,NO,NA,NA
Hieraaetus pennatus,4,2,2,0,33.7,19.1,9.9,17.1,66.5,361.0,203.8,192.2,823.8,NO,NA,NA
Hieraaetus spilogaster,4,2,2,0,44.0,27.5,14.4,22.8,91.2,430.0,278.8,253.5,1466.2,NO,NA,NA
Hieraaetus weiskei,4,1,2,1,30.4,18.9,10.0,17.0,55.0,337.0,225.5,172.0,775.0,NO,NA,NA
Himantopus himantopus,8,4,4,0,64.6,48.2,4.3,4.6,112.8,228.2,110.1,78.6,176.8,NO,NA,NA
Himantopus leucocephalus,4,1,2,1,64.3,48.9,4.6,4.8,116.0,223.2,104.8,68.5,176.8,NO,NA,NA
Himantopus mexicanus,4,2,2,0,67.1,51.0,4.5,4.7,101.5,217.5,103.2,66.2,176.8,NO,NA,NA
Himantopus novaezelandiae,4,2,2,0,72.4,52.6,4.5,4.9,89.3,241.8,116.9,78.2,195.0,NO,NA,NA
Himantornis haematopus,4,2,2,0,38.1,19.8,5.7,11.8,75.7,201.5,178.0,79.0,585.7,NO,NA,NA
Himatione sanguinea,5,2,2,1,19.4,12.3,4.2,4.8,22.4,71.7,50.3,52.4,15.2,NO,NA,NA
Hippolais caligata,5,2,2,1,12.1,7.5,2.8,2.7,19.7,59.8,49.4,45.4,8.9,NO,NA,NA
Hippolais icterina,4,2,2,0,19.7,9.1,3.7,3.3,19.1,76.9,53.2,52.1,13.2,NO,NA,NA
Hippolais languida,4,2,2,0,17.0,10.1,3.9,3.4,22.0,72.9,55.3,63.2,12.0,NO,NA,NA
Hippolais olivetorum,4,2,2,0,18.5,10.6,4.8,4.1,22.6,84.5,60.1,69.2,17.5,NO,NA,NA
Hippolais opaca,4,2,2,0,16.7,9.1,4.2,3.3,22.6,68.6,53.1,57.8,9.0,NO,NA,NA
Hippolais pallida,4,2,2,0,14.8,8.3,3.6,2.9,20.8,62.2,49.3,55.0,9.0,NO,NA,NA
Hippolais polyglotta,4,2,2,0,14.9,8.9,3.8,3.2,20.7,66.8,53.2,48.0,11.0,NO,NA,NA
Hippolais rama,4,2,2,0,18.9,8.6,3.2,2.6,18.3,61.0,49.8,52.2,9.3,NO,NA,NA
Hirundapus caudacutus,4,2,2,0,12.9,5.0,3.5,2.8,18.5,206.0,57.2,49.8,95.5,NO,NA,NA
Hirundapus celebensis,2,1,1,0,15.6,6.7,5.3,4.1,18.9,213.7,62.1,60.0,180.0,NO,NA,NA
Hirundapus cochinchinensis,4,2,2,0,11.9,6.3,6.0,4.0,16.0,182.0,58.0,52.0,83.8,NO,NA,NA
Hirundapus giganteus,6,1,2,3,9.7,7.0,5.8,4.1,17.2,203.5,73.1,61.5,127.0,NO,NA,NA
Hirundinea ferruginea,7,2,2,3,21.3,13.5,9.3,5.0,13.6,108.4,73.2,72.0,30.6,NO,NA,NA
Hirundo abyssinica,4,2,2,0,9.0,4.3,3.4,2.6,12.0,104.5,52.6,87.5,13.5,NO,NA,NA
Hirundo aethiopica,4,2,2,0,10.9,5.3,3.8,2.4,11.2,104.8,47.0,60.0,13.3,NO,NA,NA
Hirundo albigularis,5,3,1,1,11.7,6.0,4.4,3.0,11.0,121.5,56.5,66.0,21.8,NO,NA,NA
Hirundo angolensis,4,2,2,0,11.2,6.1,3.5,2.7,11.2,115.2,52.1,59.8,17.8,NO,NA,NA
Hirundo ariel,4,2,2,0,8.1,4.2,2.9,2.5,10.8,91.6,45.0,51.8,10.8,NO,NA,NA
Hirundo atrocaerulea,4,2,2,0,10.2,5.0,3.1,2.4,9.9,111.2,53.9,103.2,13.8,NO,NA,NA
Hirundo concolor,4,2,2,0,8.8,4.6,3.0,2.4,9.9,105.4,46.7,52.5,13.0,NO,NA,NA
Hirundo cucullata,4,2,2,0,10.3,5.5,4.2,3.1,15.1,119.1,58.0,94.5,27.1,NO,NA,NA
Hirundo daurica,12,6,6,0,10.2,5.5,3.9,2.9,14.2,124.3,56.6,99.7,22.2,NO,NA,NA
Hirundo dimidiata,4,2,2,0,10.1,4.8,3.8,2.3,9.7,99.1,49.6,57.0,12.1,NO,NA,NA
Hirundo domicola,4,2,2,0,10.4,5.2,3.6,2.4,10.8,102.8,47.5,49.9,15.6,NO,NA,NA
Hirundo fluvicola,4,2,2,0,7.8,4.0,3.0,2.2,10.9,92.0,45.1,48.0,9.7,NO,NA,NA
Hirundo fuliginosa,4,2,2,0,8.4,4.6,2.8,2.8,10.7,88.9,46.3,53.1,17.6,NO,NA,NA
Hirundo fuligula,5,2,2,1,11.3,6.1,4.3,3.0,11.5,125.5,60.1,56.0,21.1,NO,NA,NA
Hirundo leucosoma,4,2,2,0,10.3,4.8,3.4,2.1,9.6,98.1,42.9,53.8,17.6,NO,NA,NA
Hirundo lucida,4,2,2,0,11.5,5.7,3.6,2.8,10.0,113.5,52.0,66.8,13.0,NO,NA,NA
Hirundo megaensis,4,2,2,0,9.7,5.0,3.6,2.0,9.6,100.8,46.8,55.5,11.0,NO,NA,NA
Hirundo neoxena,5,2,2,1,9.8,5.6,3.9,2.7,10.6,109.4,52.3,75.9,14.7,NO,NA,NA
Hirundo nigricans,4,2,2,0,9.1,4.3,2.9,2.5,10.8,104.6,49.9,58.8,15.4,NO,NA,NA
Hirundo nigrita,4,2,2,0,12.0,6.1,4.0,3.0,10.8,105.0,47.3,47.0,18.3,NO,NA,NA
Hirundo nigrorufa,4,1,3,0,9.3,4.8,3.3,2.3,10.2,106.8,51.5,59.5,14.2,NO,NA,NA
Hirundo obsoleta,4,3,1,0,10.2,5.3,4.2,2.7,10.9,115.5,50.4,55.8,10.2,NO,NA,NA
Hirundo perdita,1,0,0,1,9.3,4.8,3.3,2.3,10.2,110.5,59.3,58.5,17.6,YES,"Beak culmen, Beak nares, Beak width, Beak depth, Tarsus length",Hirundo nigrorufa
Hirundo preussi,4,2,2,0,8.1,4.3,3.0,2.6,10.4,95.2,50.0,56.9,13.3,NO,NA,NA
Hirundo rufigula,4,2,2,0,7.8,4.0,3.0,2.6,10.7,96.0,51.1,55.2,15.9,NO,NA,NA
Hirundo rupestris,4,2,2,0,10.6,5.1,3.6,2.6,11.9,127.9,56.0,65.2,20.4,NO,NA,NA
Hirundo rustica,12,4,7,1,11.7,6.2,4.5,2.8,11.0,112.2,54.5,73.9,17.9,NO,NA,NA
Hirundo semirufa,4,2,2,0,11.7,5.4,4.1,3.4,15.6,131.2,65.7,128.7,30.1,NO,NA,NA
Hirundo senegalensis,4,2,2,0,14.2,6.6,5.0,3.4,18.6,146.9,66.4,118.9,45.4,NO,NA,NA
Hirundo smithii,4,2,2,0,10.4,5.2,3.3,2.3,10.0,106.5,44.7,70.0,12.4,NO,NA,NA
Hirundo spilodera,4,2,2,0,10.7,5.6,3.8,3.0,13.6,110.5,58.0,63.2,20.6,NO,NA,NA
Hirundo striolata,5,2,3,0,10.8,5.5,3.3,2.8,14.8,122.6,57.8,84.8,22.0,NO,NA,NA
Hirundo tahitica,4,2,2,0,12.5,6.8,4.7,2.8,8.8,104.8,47.8,46.8,17.8,NO,NA,NA
Histrionicus histrionicus,4,2,2,0,25.6,16.9,11.9,10.2,31.0,190.0,95.0,83.5,561.6,NO,NA,NA
Histurgops ruficaudus,5,2,2,1,22.2,13.1,6.6,9.4,28.1,119.6,94.2,93.4,69.0,NO,NA,NA
Hodgsonius phaenicuroides,4,2,2,0,16.8,9.6,3.3,3.5,28.8,71.0,55.1,78.8,21.1,NO,NA,NA
Horizorhinus dohrni,4,2,2,0,16.6,9.3,4.3,4.1,25.3,69.1,59.3,61.8,19.3,NO,NA,NA
Houbaropsis bengalensis,4,2,2,0,49.1,24.9,11.3,10.2,143.7,345.8,218.1,152.8,2012.5,NO,NA,NA
Humblotia flavirostris,4,2,2,0,11.6,6.2,4.5,3.2,17.8,69.0,56.2,50.8,23.1,NO,NA,NA
Hydrobates pelagicus,4,2,2,0,14.1,6.1,2.2,3.5,22.0,118.2,48.5,52.5,25.2,NO,NA,NA
Hydrochous gigas,1,0,1,0,7.4,3.9,3.1,3.3,13.5,146.0,44.7,58.2,35.8,NO,NA,NA
Hydrophasianus chirurgus,4,2,2,0,33.4,17.1,4.2,5.4,53.8,192.8,114.0,69.5,160.0,NO,NA,NA
Hydropsalis climacocerca,4,2,2,0,18.6,8.3,5.4,3.4,15.0,149.5,72.6,144.3,46.0,NO,NA,NA
Hydropsalis torquata,4,0,3,1,22.4,9.9,4.3,3.0,18.2,187.2,95.6,356.8,58.5,NO,NA,NA
Hylacola cauta,2,1,1,0,14.7,8.1,2.7,3.4,22.2,53.8,47.9,58.0,15.2,NO,NA,NA
Hylacola pyrrhopygia,3,0,1,2,14.8,7.2,3.1,4.2,22.0,54.5,50.0,61.0,16.8,NO,NA,NA
Hylexetastes brigidai,3,1,2,0,39.6,29.7,8.4,11.9,32.6,124.5,108.3,117.6,117.0,NO,NA,NA
Hylexetastes perrotii,13,4,7,2,44.4,29.1,9.6,11.1,32.2,126.9,108.6,131.5,103.1,NO,NA,NA
Hylexetastes stresemanni,7,4,3,0,42.5,29.5,9.6,10.9,31.7,129.1,113.8,101.5,111.0,NO,NA,NA
Hylexetastes uniformis,4,2,2,0,39.8,26.9,8.6,11.0,31.7,124.0,108.8,112.0,117.0,NO,NA,NA
Hylia prasina,5,2,2,1,12.7,7.9,3.1,3.5,18.3,63.3,55.3,44.4,13.1,NO,NA,NA
Hyliota australis,4,2,2,0,12.1,7.1,3.2,3.2,17.8,68.1,54.7,46.8,11.2,NO,NA,NA
Hyliota flavigaster,4,2,2,0,14.9,8.2,3.5,3.5,18.2,65.6,53.9,43.2,12.5,NO,NA,NA
Hyliota usambara,2,1,1,0,12.9,7.3,3.2,3.3,16.2,62.5,51.5,40.5,11.2,NO,NA,NA
Hyliota violacea,4,2,2,0,14.7,8.3,4.1,3.9,18.9,76.1,61.4,49.6,15.8,NO,NA,NA
Hylocharis chrysura,4,3,0,1,22.8,19.1,2.7,2.0,4.4,51.8,19.9,30.8,4.5,NO,NA,NA
Hylocharis cyanus,6,1,2,3,20.2,14.7,2.2,2.1,4.1,47.6,18.0,25.2,3.3,NO,NA,NA
Hylocharis eliciae,4,2,2,0,18.2,15.3,2.1,2.4,3.3,48.2,17.1,29.5,3.6,NO,NA,NA
Hylocharis grayi,14,1,11,2,21.6,18.3,2.6,2.0,5.4,60.5,22.2,33.4,5.6,NO,NA,NA
Hylocharis humboldtii,13,3,10,0,20.4,18.4,1.9,1.6,5.6,61.7,23.0,35.1,5.6,NO,NA,NA
Hylocharis leucotis,4,2,2,0,18.6,14.3,2.5,1.9,2.7,54.4,17.2,32.8,3.4,NO,NA,NA
Hylocharis sapphirina,4,2,2,0,20.5,16.1,2.1,2.1,4.7,49.5,17.7,29.5,4.4,NO,NA,NA
Hylocharis xantusii,4,1,3,0,17.8,14.5,2.6,2.0,5.0,50.8,18.1,29.8,3.4,NO,NA,NA
Hylocichla mustelina,5,2,2,1,18.9,12.1,5.1,5.8,31.3,107.9,78.9,75.6,50.1,NO,NA,NA
Hylocitrea bonensis,4,2,2,0,16.7,8.1,3.7,4.7,21.1,81.2,65.6,71.0,27.5,NO,NA,NA
Hylocryptus erythrocephalus,7,2,5,0,32.2,21.1,4.8,6.7,27.1,90.8,82.3,87.0,46.5,NO,NA,NA
Hylocryptus rectirostris,5,2,2,1,28.2,18.8,4.5,6.2,27.8,98.1,86.1,93.5,48.0,NO,NA,NA
Hyloctistes subulatus,22,1,13,8,25.3,15.4,4.6,5.8,20.0,79.8,63.6,70.4,28.8,NO,NA,NA
Hyloctistes virgatus,4,2,2,0,25.7,17.6,4.7,5.7,19.9,81.8,68.4,68.2,29.5,NO,NA,NA
Hylomanes momotula,4,0,3,1,25.0,18.9,8.5,7.2,17.9,71.2,57.2,64.8,29.3,NO,NA,NA
Hylonympha macrocerca,4,2,2,0,27.2,20.5,3.4,2.8,6.1,65.2,21.3,98.8,13.0,NO,NA,NA
Hylopezus auricularis,2,1,1,0,23.4,13.7,5.1,6.1,39.2,88.0,79.7,38.8,40.4,NO,NA,NA
Hylopezus berlepschi,4,2,2,0,21.4,12.7,4.9,5.7,39.8,84.5,79.6,39.8,48.0,NO,NA,NA
Hylopezus dives,4,0,3,1,21.0,12.1,4.4,5.4,36.8,78.8,73.1,33.2,44.0,NO,NA,NA
Hylopezus fulviventris,4,0,3,1,22.1,12.6,5.0,6.1,36.4,79.8,70.0,34.5,41.0,NO,NA,NA
Hylopezus macularius,4,2,2,0,21.8,12.6,5.0,5.3,36.5,88.8,78.3,39.8,44.2,NO,NA,NA
Hylopezus nattereri,4,1,3,0,18.5,10.5,3.9,4.6,39.3,75.5,67.6,35.3,32.0,NO,NA,NA
Hylopezus ochroleucus,4,1,3,0,18.6,11.0,3.9,4.6,37.6,78.2,70.3,37.9,28.0,NO,NA,NA
Hylopezus perspicillatus,10,1,2,7,19.5,12.1,4.9,5.8,35.9,81.3,68.9,29.7,43.0,NO,NA,NA
Hylophilus amaurocephalus,16,6,4,6,11.9,7.7,3.2,4.4,16.1,52.3,44.7,49.0,11.6,NO,NA,NA
Hylophilus aurantiifrons,5,2,2,1,15.9,8.9,3.5,4.0,16.5,53.0,46.2,43.7,9.5,NO,NA,NA
Hylophilus brunneiceps,4,0,1,3,15.3,9.1,3.3,3.9,16.4,55.8,50.0,40.8,9.9,NO,NA,NA
Hylophilus decurtatus,15,5,8,2,13.8,8.6,3.4,3.8,16.2,51.7,43.8,39.7,8.5,NO,NA,NA
Hylophilus flavipes,4,2,2,0,13.7,7.9,3.5,4.2,18.7,55.5,48.0,46.0,11.7,NO,NA,NA
Hylophilus hypoxanthus,5,2,2,1,15.1,8.8,3.2,3.8,16.0,64.4,48.6,44.2,17.0,NO,NA,NA
Hylophilus muscicapinus,6,2,4,0,16.7,10.6,3.4,4.0,17.0,60.0,50.7,43.5,11.7,NO,NA,NA
Hylophilus ochraceiceps,26,9,7,10,15.2,8.7,3.6,4.1,16.4,56.9,47.3,44.1,11.6,NO,NA,NA
Hylophilus olivaceus,2,1,1,0,13.4,7.9,3.1,4.1,19.1,57.5,47.0,50.0,12.0,NO,NA,NA
Hylophilus pectoralis,4,2,2,0,13.6,7.8,3.5,3.9,17.6,52.2,45.0,42.8,11.6,NO,NA,NA
Hylophilus poicilotis,4,2,2,0,13.4,7.6,3.2,3.5,17.9,55.2,48.8,51.5,10.4,NO,NA,NA
Hylophilus sclateri,4,2,2,0,13.2,7.6,3.4,3.8,16.6,59.0,48.1,50.0,11.2,NO,NA,NA
Hylophilus semibrunneus,4,0,0,4,15.9,9.0,3.4,4.0,17.1,60.2,52.8,51.0,11.4,NO,NA,NA
Hylophilus semicinereus,4,2,2,0,14.3,8.4,3.5,3.9,18.3,56.8,48.3,47.2,13.0,NO,NA,NA
Hylophilus thoracicus,4,1,1,2,15.7,8.2,3.4,4.1,17.6,56.0,50.1,49.8,13.8,NO,NA,NA
Hylophylax naevioides,16,3,11,2,16.6,10.3,4.8,4.3,22.1,62.3,53.6,37.8,17.8,NO,NA,NA
Hylophylax naevius,22,7,12,3,16.1,9.1,4.7,3.7,20.2,58.4,49.8,40.5,14.2,NO,NA,NA
Hylophylax punctulatus,4,2,2,0,16.5,9.5,4.5,4.2,17.5,60.0,51.9,31.2,12.4,NO,NA,NA
Hylorchilus navai,0,0,0,0,30.5,21.4,4.3,4.3,29.5,69.3,62.4,39.0,29.3,YES,ALL,Hylorchilus sumichrasti
Hylorchilus sumichrasti,3,0,3,0,30.5,21.4,4.3,4.3,29.5,69.3,62.4,39.0,28.4,NO,NA,NA
Hymenolaimus malacorhynchos,4,0,3,1,42.2,30.1,16.1,14.7,42.2,228.2,128.1,100.5,830.0,NO,NA,NA
Hymenops perspicillatus,4,2,2,0,17.9,10.0,4.2,3.7,26.8,84.5,69.1,58.0,22.9,NO,NA,NA
Hypargos margaritatus,4,2,2,0,10.8,7.9,4.8,6.3,15.2,51.8,45.3,47.7,12.8,NO,NA,NA
Hypargos niveoguttatus,5,2,2,1,12.2,9.0,5.4,6.6,16.3,56.2,49.2,51.8,14.6,NO,NA,NA
Hypergerus atriceps,4,2,2,0,25.0,14.3,4.0,4.5,26.4,90.2,80.8,91.0,29.8,NO,NA,NA
Hypnelus ruficollis,8,2,2,4,35.1,26.5,11.0,12.8,19.5,87.3,67.6,81.0,49.8,NO,NA,NA
Hypocnemis cantator,4,2,2,0,15.5,9.9,4.4,4.1,19.6,54.2,48.2,40.0,12.3,NO,NA,NA
Hypocnemis flavescens,4,2,2,0,16.2,9.2,4.4,4.2,20.4,53.5,46.3,41.5,12.3,NO,NA,NA
Hypocnemis hypoxantha,4,2,2,0,16.4,9.5,4.6,4.0,20.7,56.2,51.2,47.5,11.5,NO,NA,NA
Hypocnemis ochrogyna,4,2,2,0,15.4,8.8,4.0,4.0,19.9,55.4,50.7,43.2,12.3,NO,NA,NA
Hypocnemis peruviana,4,2,2,0,15.6,9.4,4.4,4.4,17.8,54.5,49.7,39.2,12.3,NO,NA,NA
Hypocnemis striata,4,2,2,0,16.5,9.3,4.6,4.0,19.8,53.8,49.0,42.0,12.3,NO,NA,NA
Hypocnemis subflava,7,2,4,1,15.7,9.4,4.2,3.9,20.2,53.4,47.4,41.3,12.3,NO,NA,NA
Hypocnemoides maculicauda,4,2,2,0,17.5,10.5,3.8,3.2,20.3,60.5,53.2,41.0,11.8,NO,NA,NA
Hypocnemoides melanopogon,4,2,2,0,19.7,11.9,4.2,3.5,20.4,63.8,57.4,33.0,14.1,NO,NA,NA
Hypocolius ampelinus,4,2,2,0,17.9,8.8,5.6,5.8,22.9,99.8,74.4,109.5,53.3,NO,NA,NA
Hypocryptadius cinnamomeus,4,2,2,0,17.5,10.3,4.2,5.5,21.0,89.6,69.9,62.2,30.0,NO,NA,NA
Hypoedaleus guttatus,6,3,2,1,27.7,15.5,8.5,9.7,28.2,86.7,79.6,99.7,38.8,NO,NA,NA
Hypogramma hypogrammicum,10,2,2,6,21.3,14.9,3.7,3.5,16.4,66.5,57.4,47.5,11.4,NO,NA,NA
Hypopyrrhus pyrohypogaster,6,1,3,2,31.2,19.5,8.4,11.7,34.1,138.6,117.7,135.8,257.9,NO,NA,NA
Hypositta corallirostris,4,2,2,0,13.4,7.1,3.0,3.8,20.2,75.8,62.1,56.5,14.1,NO,NA,NA
Hypositta perdita,0,0,0,0,17.1,9.6,3.1,4.4,22.0,65.2,59.9,65.2,14.1,YES,ALL,Oxylabes madagascariensis
Hypothymis azurea,6,2,2,2,11.8,8.5,4.6,3.7,15.8,69.8,58.6,75.2,11.1,NO,NA,NA
Hypothymis coelestis,5,2,3,0,14.0,8.8,5.6,4.2,17.2,70.1,56.5,67.7,13.6,NO,NA,NA
Hypothymis helenae,5,2,3,0,12.1,7.2,4.5,3.7,15.7,65.8,53.6,65.5,9.9,NO,NA,NA
Hypsipetes borbonicus,1,0,0,1,24.0,12.8,4.4,6.4,26.8,114.0,89.1,106.0,55.3,NO,NA,NA
